season,season_start,league,division,position,club
1931/1932,1931,Eretz Israel League,,1,British Police
1931/1932,1931,Eretz Israel League,,2,Hapoel Tel Aviv
1931/1932,1931,Eretz Israel League,,3,Hapoel Haifa
1931/1932,1931,Eretz Israel League,,4,Maccabi Jerusalem
1931/1932,1931,Eretz Israel League,,5,Maccabi Tel Aviv
1931/1932,1931,Eretz Israel League,,6,Maccabi Petah Tikva
1931/1932,1931,Eretz Israel League,,7,Maccabi Haifa
1931/1932,1931,Eretz Israel League,,8,Maccabi Nes Ziona
1931/1932,1931,Eretz Israel League,,9,Hapoel Jerusalem
1933/1934,1933,Eretz Israel League,,1,Hapoel Tel Aviv
1933/1934,1933,Eretz Israel League,,2,Maccabi Jerusalem
1933/1934,1933,Eretz Israel League,,3,Hapoel Haifa
1933/1934,1933,Eretz Israel League,,4,Maccabi Petah Tikva
1933/1934,1933,Eretz Israel League,,5,Maccabi Tel Aviv
1933/1934,1933,Eretz Israel League,,6,Maccabi Nes Ziona
1933/1934,1933,Eretz Israel League,,7,Maccabi Rehovot
1933/1934,1933,Eretz Israel League,,8,Hapoel Jerusalem
1933/1934,1933,Eretz Israel League,,9,Maccabi Haifa
1934/1935,1934,Eretz Israel League,,1,Hapoel Tel Aviv
1934/1935,1934,Eretz Israel League,,2,Hapoel Petah Tikva
1934/1935,1934,Eretz Israel League,,3,Hakoah Tel Aviv
1934/1935,1934,Eretz Israel League,,4,Maccabi Petah Tikva
1934/1935,1934,Eretz Israel League,,5,Maccabi Tel Aviv
1934/1935,1934,Eretz Israel League,,6,Maccabi Jerusalem
1934/1935,1934,Eretz Israel League,,7,Hapoel Haifa
1934/1935,1934,Eretz Israel League,,8,Maccabi Nes Ziona
1934/1935,1934,Eretz Israel League,,9,Maccabi Rehovot
1934/1935,1934,Eretz Israel League,,10,Hapoel Jerusalem
1935/1936,1935,Eretz Israel League,,1,Maccabi Tel Aviv
1935/1936,1935,Eretz Israel League,,2,Hakoah Tel Aviv
1935/1936,1935,Eretz Israel League,,3,Hapoel Tel Aviv
1935/1936,1935,Eretz Israel League,,4,Hapoel Haifa
1935/1936,1935,Eretz Israel League,,5,Maccabi Petah Tikva
1935/1936,1935,Eretz Israel League,,6,Maccabi Nes Ziona
1937,1937,Eretz Israel League,,1,Maccabi Tel Aviv
1937,1937,Eretz Israel League,,2,Hapoel Tel Aviv
1937,1937,Eretz Israel League,,3,Hakoah Tel Aviv
1937,1937,Eretz Israel League,,4,Hapoel Haifa
1937,1937,Eretz Israel League,,5,Maccabi Petah Tikva
1937,1937,Liga Bet,,1,Hapoel Ironi Herzliya
1937,1937,Liga Bet,,2,Beitar Tel Aviv
1937,1937,Liga Bet,,3,Maccabi Haifa
1937,1937,Liga Bet,,5,Maccabi Hadera
1937,1937,Liga Bet,North,1,Hapoel Ironi Herzliya
1937,1937,Liga Bet,North,2,Beitar Tel Aviv
1937,1937,Liga Bet,North,3,Maccabi Haifa
1937,1937,Liga Bet,North,4,HaKochav Tel Aviv
1937,1937,Liga Bet,North,5,Maccabi Hadera
1938,1938,Eretz Israel League,,1,Hapoel Tel Aviv
1938,1938,Eretz Israel League,,2,Maccabi Tel Aviv
1938,1938,Eretz Israel League,,3,British Police
1938,1938,Eretz Israel League,,4,Hapoel Haifa
1938,1938,Eretz Israel League,,5,Hakoah Tel Aviv
1938,1938,Eretz Israel League,,6,Hapoel Ironi Herzliya
1938,1938,Eretz Israel League,,7,Maccabi Petah Tikva
